Date,Sigma,rate,QQQ,QQQ DIV
3/11/1999,24.370001,4.77,51.4375,0
3/12/1999,24.84,4.76,51.125,0
3/15/1999,25.24,4.76,50.4375,0
3/16/1999,25.15,4.74,51.71875,0
3/17/1999,25.57,4.74,51.9375,0
3/18/1999,24.129999,4.72,51.5,0
3/19/1999,24.32,4.73,53.25,0
3/22/1999,25,4.77,51.4375,0
3/23/1999,27.27,4.74,50.3125,0
3/24/1999,26.6,4.73,49.25,0
3/25/1999,24.33,4.77,51.25,0
3/26/1999,24.040001,4.74,51.875,0
3/29/1999,23.540001,4.75,52.375,0
3/30/1999,22.73,4.72,53.5625,0
3/31/1999,23.26,4.72,54.125,0
4/1/1999,22.059999,4.73,54,0
4/2/1999,22.059999,4.67,54,0
4/5/1999,22.190001,4.67,54.429688,0
4/6/1999,22.65,4.66,55.4375,0
4/7/1999,22.809999,4.69,56.125,0
4/8/1999,22.59,4.64,54.9375,0
4/9/1999,21.77,4.63,55.375,0
4/12/1999,21.93,4.66,54.5,0
4/13/1999,22.73,4.66,55.78125,0
4/14/1999,24.940001,4.65,55.375,0
4/15/1999,23.93,4.66,53,0
4/16/1999,23.9,4.71,53.40625,0
4/19/1999,26.42,4.69,52.3125,0
4/20/1999,25.02,4.67,49.3125,0
4/21/1999,23.309999,4.68,51.125,0
4/22/1999,22.620001,4.73,53.65625,0
4/23/1999,22.76,4.71,54.3125,0
4/26/1999,23.530001,4.72,55.6875,0
4/27/1999,23.360001,4.74,57,0
4/28/1999,24.4,4.75,55.25,0
4/29/1999,25.059999,4.68,53.5625,0
4/30/1999,25.07,4.78,54.125,0
5/3/1999,24.15,4.79,53.5625,0
5/4/1999,25.620001,4.8,53.53125,0
5/5/1999,25.190001,4.75,52.625,0
5/6/1999,27.440001,4.79,53.6875,0
5/7/1999,25.360001,4.78,52.6875,0
5/10/1999,26.620001,4.77,53.3125,0
5/11/1999,25.620001,4.8,53.9375,0
5/12/1999,26.129999,4.79,54.59375,0
5/13/1999,25.02,4.75,55.90625,0
5/14/1999,26.860001,4.86,53.375,0
5/17/1999,27.280001,4.9,52.9375,0
5/18/1999,27.26,4.92,54.3125,0
5/19/1999,25.08,4.9,54.34375,0
5/20/1999,24.459999,4.88,54.992188,0
5/21/1999,24.4,4.87,53.53125,0
5/24/1999,27.620001,4.86,52.96875,0
5/25/1999,28.9,4.9,51.46875,0
5/26/1999,27.57,4.92,50.5,0
5/27/1999,28.120001,4.98,51.03125,0
5/28/1999,25.389999,4.97,51.5,0
5/31/1999,25.389999,4.97,51.5,0
6/1/1999,26.620001,5.09,51.9375,0
6/2/1999,26.209999,5.07,50.84375,0
6/3/1999,26.200001,5.07,52.125,0
6/4/1999,23.43,5.07,51.375,0
6/7/1999,23.780001,5.08,52.929688,0
6/8/1999,24.02,5.1,53.78125,0
6/9/1999,23.9,5.12,52.5,0
6/10/1999,25.32,5.13,52.625,0
6/11/1999,25.9,5.16,52.9375,0
6/14/1999,26.51,5.13,51.96875,0
6/15/1999,25.91,5.09,50.929688,0
6/16/1999,22.4,5,52.84375,0
6/17/1999,21.950001,4.95,53.5,0
6/18/1999,21.75,4.98,54.3125,0
6/21/1999,21.809999,5.01,55.4375,0
6/22/1999,21.700001,5.15,56.375,0
6/23/1999,21.32,5.18,55.007813,0
6/24/1999,23.059999,5.18,55.84375,0
