Date,Sigma,rate
6/22/1990,19.360001,8.12
6/25/1990,17.059999,8.19
6/26/1990,16.290001,8.19
6/27/1990,16,8.14
6/28/1990,16.18,8.07
6/29/1990,15.5,8.05
7/2/1990,16.26,8.06
7/3/1990,16.110001,8.01
7/4/1990,null,#N/A
7/5/1990,17.25,8.02
7/6/1990,16.41,8.14
7/9/1990,16.66,8.19
7/10/1990,16.92,8.21
7/11/1990,16.68,8.18
7/12/1990,17.059999,7.98
7/13/1990,17.09,7.89
7/16/1990,16.75,7.89
7/17/1990,16.66,7.88
7/18/1990,18.9,7.87
7/19/1990,18.559999,7.87
7/20/1990,15.63,7.84
7/23/1990,23.68,7.81
7/24/1990,21.790001,7.88
7/25/1990,20.190001,7.87
7/26/1990,20.26,7.9
7/27/1990,21.120001,7.8
7/30/1990,21.16,7.75
7/31/1990,21.110001,7.72
8/1/1990,21.639999,7.63
8/2/1990,20.43,7.7
8/3/1990,28.74,7.56
8/6/1990,35.91,7.63
8/7/1990,32.75,7.75
8/8/1990,28.27,7.73
8/9/1990,24.389999,7.72
8/10/1990,25.75,7.67
8/13/1990,25.74,7.65
8/14/1990,24.18,7.69
8/15/1990,23.309999,7.68
8/16/1990,27.16,7.81
8/17/1990,27.530001,7.8
8/20/1990,26.459999,7.84
8/21/1990,28.9,7.9
8/22/1990,30.549999,7.94
8/23/1990,36.470001,7.99
8/24/1990,33.93,7.96
8/27/1990,29.629999,7.89
8/28/1990,29.120001,7.94
8/29/1990,27.379999,7.85
8/30/1990,29.889999,7.83
8/31/1990,29.9,7.76
9/3/1990,null,#N/A
9/4/1990,29.58,7.76
9/5/1990,28.52,7.74
9/6/1990,30.190001,7.74
9/7/1990,28.73,7.73
9/10/1990,29.34,7.79
9/11/1990,28.379999,7.81
9/12/1990,28.120001,7.75
9/13/1990,29.33,7.7
9/14/1990,30.559999,7.72
9/17/1990,29.549999,7.73
9/18/1990,28.82,7.73
9/19/1990,27.879999,7.79
9/20/1990,28.66,7.81
9/21/1990,30.040001,7.77
9/24/1990,30.559999,7.83
9/25/1990,28.809999,7.85
9/26/1990,28.190001,7.84
9/27/1990,28.67,7.72
9/28/1990,29.110001,7.69
10/1/1990,28.059999,7.63
10/2/1990,27.280001,7.61
10/3/1990,27.9,7.57
10/4/1990,27.51,7.56
10/5/1990,27.85,7.51
10/8/1990,28.040001,#N/A
10/9/1990,30.709999,7.64
10/10/1990,31.190001,7.64
10/11/1990,33.98,7.6
10/12/1990,31.940001,7.59
10/15/1990,31.639999,7.58
10/16/1990,31.450001,7.58
10/17/1990,31.370001,7.6
10/18/1990,29.6,7.59
10/19/1990,27.860001,7.55
10/22/1990,27.27,7.53
10/23/1990,27.57,7.52
10/24/1990,28.280001,7.52
10/25/1990,29.040001,7.46
10/26/1990,30.75,7.46
10/29/1990,31.540001,7.48
10/30/1990,30.52,7.48
10/31/1990,30.040001,7.43
11/1/1990,30.25,7.32
11/2/1990,30.030001,7.35
11/5/1990,29.85,7.33
11/6/1990,29.110001,7.36
11/7/1990,30.870001,7.36
11/8/1990,30.790001,7.35
11/9/1990,26.959999,7.33
11/12/1990,25.6,#N/A
11/13/1990,24.58,7.3
11/14/1990,22.889999,7.31
11/15/1990,22.57,7.32
11/16/1990,21.34,7.27
11/19/1990,20.950001,7.33
11/20/1990,20.09,7.34
11/21/1990,21.09,7.26
11/22/1990,null,#N/A
11/23/1990,20.98,7.23
11/26/1990,22.76,7.24
11/27/1990,22.860001,7.28
11/28/1990,22.959999,7.34
11/29/1990,23.91,7.34
11/30/1990,22.16,7.31
12/3/1990,22.290001,7.31
12/4/1990,22.030001,7.25
12/5/1990,20.940001,7.24
12/6/1990,22.620001,7.27
12/7/1990,22.59,7.12
12/10/1990,23.58,7.1
12/11/1990,23.75,7.07
12/12/1990,21.280001,7.03
12/13/1990,23.049999,7.11
12/14/1990,23.85,7.09
12/17/1990,24.85,7.06
12/18/1990,23.110001,7.02
12/19/1990,23.08,6.89
12/20/1990,23.129999,6.9
12/21/1990,22.66,6.95
12/24/1990,24.030001,6.99
12/25/1990,null,#N/A
12/26/1990,24.18,6.94
12/27/1990,24.809999,6.94
12/28/1990,25.049999,6.91
12/31/1990,26.379999,6.82
1/1/1991,null,#N/A
1/2/1991,26.620001,6.74
1/3/1991,27.93,6.72
1/4/1991,27.190001,6.83
1/7/1991,28.950001,6.84
1/8/1991,30.379999,6.75
1/9/1991,33.299999,6.68
1/10/1991,31.33,6.64
1/11/1991,32.630001,6.62
1/14/1991,36.200001,6.6
1/15/1991,36.16,6.6
1/16/1991,33.200001,6.61
1/17/1991,27.450001,6.66
1/18/1991,25.389999,6.61
1/21/1991,24.33,#N/A
1/22/1991,24.9,6.59
1/23/1991,23.92,6.59
1/24/1991,22.860001,6.54
1/25/1991,22.200001,6.61
1/28/1991,23.049999,6.64
1/29/1991,23.17,6.59
1/30/1991,21.370001,6.56
1/31/1991,20.91,6.51
2/1/1991,21.040001,6.27
2/4/1991,21.860001,6.24
2/5/1991,21.459999,6.23
2/6/1991,22.68,6.22
2/7/1991,23.6,6.23
2/8/1991,23.379999,6.21
2/11/1991,22.559999,6.18
2/12/1991,22.26,6.18
2/13/1991,20.860001,6.21
2/14/1991,21.48,6.19
2/15/1991,19.57,6.24
2/18/1991,null,#N/A
2/19/1991,19.84,6.3
2/20/1991,22.26,6.28
2/21/1991,20.780001,6.29
2/22/1991,21.01,6.33
2/25/1991,22.860001,6.33
2/26/1991,20.379999,6.37
